Name,Area Coverage sqft per box,Weight kg per box,Unit,Billing sqft per box,Sqft Price
51279 L 18X12 WP,8.72,10,Boxes,9,45
51281 HL 2 18X12 WP,8.72,10,Boxes,9,45
51283 D 18X12 WP,8.72,10,Boxes,9,45
COSERA KITCHEN D 18X12 WP,8.72,10,Boxes,9,45
COSERA KITCHEN HL R 18X12 WP,8.72,10,Boxes,9,45
COSERA KITCHEN L 18X12 WP,8.72,10,Boxes,9,45
DIVINE POOJA HL 1 R 18X12 WP,8.72,10,Boxes,9,45
DIVINE POOJA HL 2 R 18X12 WP,8.72,10,Boxes,9,45
DIVINE POOJA L 18X12 WP,8.72,10,Boxes,9,45
GLIDER KITCHEN D 18X12 WP,8.72,10,Boxes,9,45
GLIDER KITCHEN HL R 18X12 WP,8.72,10,Boxes,9,45
GLIDER KITCHEN L 18X12 WP,8.72,10,Boxes,9,45
KERMIT KITCHEN D 18X12 WP,8.72,10,Boxes,9,45
KERMIT KITCHEN HL R 18X12 WP,8.72,10,Boxes,9,45
KERMIT KITCHEN L 18X12 WP,8.72,10,Boxes,9,45
MADRID KITCHEN D 18X12 WP,8.72,10,Boxes,9,45
MADRID KITCHEN HL R 18X12 WP,8.72,10,Boxes,9,45
MADRID KITCHEN L 18X12 WP,8.72,10,Boxes,9,45
PARLE KITCHEN D 18X12 WP,8.72,10,Boxes,9,45
PARLE KITCHEN HL R 18X12 WP,8.72,10,Boxes,9,45
PARLE KITCHEN L 18X12 WP,8.72,10,Boxes,9,45
SEAN KITCHEN D 18X12 WP,8.72,10,Boxes,9,45
SEAN KITCHEN HL R 18X12 WP,8.72,10,Boxes,9,45
SEAN KITCHEN L 18X12 WP,8.72,10,Boxes,9,45
ERCOSA TOPAZ 18X12 SM ELE,8.72,10,Boxes,9,49
PLAZMA-EL 18X12 SM ELE,8.72,10,Boxes,9,49
RILES 18X12 SM ELE,8.72,10,Boxes,9,49
STONICA GRIS-EL 18X12 SM ELE,8.72,10,Boxes,9,49
BLOOM D 18X12 SM,8.72,10,Boxes,9,43
BLOOM HL1 18X12 SM,8.72,10,Boxes,9,43
BLOOM L 18X12 SM,8.72,10,Boxes,9,43
SPARTAN HL-R 18X12 SM,8.72,10,Boxes,9,43
SPARTAN L 18X12 SM,8.72,10,Boxes,9,43
KHD 104 18X12 HD,7.27,10,Boxes,7.5,58
KHD 113 18X12 HD,7.27,10,Boxes,7.5,58
KHD 123 18X12 HD,7.27,10,Boxes,7.5,58
KHD 124 18X12 HD,7.27,10,Boxes,7.5,58
KHD 145 18X12 HD,7.27,10,Boxes,7.5,58
KHD 147 18X12 HD,7.27,10,Boxes,7.5,58
KHD 148 18X12 HD,7.27,10,Boxes,7.5,58
KHD 153 18X12 HD,7.27,10,Boxes,7.5,58
KHD 176 18X12 HD,7.27,10,Boxes,7.5,58
RONO GREY 16X16,8.61,18,Boxes,9,64
ADAK WOOD 16X16,8.61,18,Boxes,9,64
RONO NATURAL 16X16,8.61,18,Boxes,9,64
ELAN BLUE 16X16,8.61,18,Boxes,9,64
ERKA WOOD 16X16,8.61,18,Boxes,9,64
GRETEX BEIGE 16X16,8.61,18,Boxes,9,64
GRETEX GREY 16X16,8.61,18,Boxes,9,64
RONO WHITE 16X16,8.61,18,Boxes,9,64
TONG STONE 16X16,8.61,18,Boxes,9,64
71179 L 15X10 WP,8.07,8,Boxes,8.07,40
71182 D 15X10 WP,8.07,8,Boxes,8.07,40
71181 HL 2 15X10 WP,8.07,8,Boxes,8.07,40
71183 F 15X10 WP,8.07,8,Boxes,8.07,40
